data;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;100HUF;1CHF;1GBP;1UAH;100JPY;1CZK;1DKK;100ISK;1NOK;1SEK;1RON;1BGN;1TRY;1ILS;100CLP;1PHP;1MXN;1ZAR;1BRL;1MYR;10000IDR;100INR;100KRW;1CNY;1XDR
20250102;0,1202;4,1219;2,563;0,53;2,8597;2,3159;3,026;4,2668;1,0368;4,5554;5,1448;0,098;2,6287;0,1693;0,5721;2,9651;0,3633;0,3732;0,8578;2,1816;0,1167;1,1301;0,4136;0,0713;0,1984;0,2199;0,6665;0,9204;2,5453;4,8059;0,2815;0,5646;5,3541
20250103;0,1205;4,1512;2,5794;0,5337;2,8849;2,3252;3,0299;4,2718;1,0299;4,5658;5,1498;0,0986;2,6398;0,1697;0,5727;2,9769;0,3644;0,3726;0,8588;2,1841;0,1173;1,1365;0,4129;0,0714;0,2023;0,221;0,6747;0,9225;2,5641;4,8407;0,2823;0,5672;5,3801
20250107;0,1182;4,077;2,5619;0,5245;2,8506;2,3183;2,9984;4,2515;1,0226;4,5097;5,1217;0,0964;2,5866;0,169;0,5699;2,93;0,3617;0,3706;0,8547;2,1737;0,1154;1,1258;0,4033;0,0702;0,2008;0,22;0,6667;0,9085;2,5276;4,7561;0,2818;0,5564;5,3207
20250108;0,1194;4,1335;2,5713;0,5314;2,8778;2,3229;3,0242;4,2656;1,0274;4,533;5,1467;0,0979;2,6134;0,1698;0,5717;2,9357;0,3646;0,3706;0,8577;2,1809;0,1167;1,1332;0,4115;0,0707;0,2031;0,2196;0,6775;0,918;2,5524;4,813;0,2832;0,5637;5,3517
20250109;0,1199;4,1523;2,5711;0,5337;2,8868;2,3208;3,0326;4,2794;1,0341;4,5555;5,1;0,0981;2,6263;0,1703;0,5735;2,9493;0,3639;0,3724;0,8604;2,188;0,1175;1,1317;0,4145;0,0711;0,2032;0,2196;0,6801;0,9221;2,5632;4,836;0,2839;0,5662;5,398
20250110;0,1197;4,1415;2,5608;0,532;2,874;2,3098;3,0263;4,2657;1,032;4,5341;5,0952;0,0979;2,6221;0,17;0,5718;2,9398;0,3625;0,3716;0,8578;2,181;0,1169;1,1305;0,4116;0,0708;0,2017;0,218;0,6861;0,921;2,5588;4,8171;0,2822;0,5647;5,3807
20250113;0,1203;4,1904;2,572;0,5382;2,9028;2,3231;3,048;4,2715;1,0313;4,5699;5,0733;0,099;2,6673;0,1698;0,5725;2,9561;0,364;0,371;0,8589;2,184;0,1182;1,1409;0,4141;0,0712;0,2012;0,2182;0,6863;0,9291;2,5748;4,8401;0,2848;0,5714;5,3781
20250114;0,1198;4,1658;2,5786;0,535;2,8977;2,3372;3,0422;4,2737;1,0363;4,5477;5,0729;0,0985;2,6374;0,169;0,5728;2,9494;0,3651;0,3714;0,8591;2,1851;0,1174;1,1478;0,4132;0,0709;0,2021;0,2195;0,6835;0,9247;2,5612;4,8082;0,2848;0,5681;5,4148
20250115;0,119;4,133;2,5651;0,5308;2,8808;2,3223;3,0246;4,2611;1,0362;4,5331;5,0499;0,0978;2,6347;0,1689;0,5711;2,9407;0,3643;0,3707;0,8565;2,1786;0,1165;1,136;0,4118;0,0705;0,2016;0,2193;0,6825;0,9186;2,5325;4,7866;0,2833;0,5637;5,3861
